Date,Open,High,Low,Close,Adj Close,Volume
2020-08-18,4.810000,4.860000,4.740000,4.790000,4.790000,2432900
2020-08-19,4.840000,4.870000,4.750000,4.780000,4.780000,2641700
2020-08-20,4.740000,4.850000,4.720000,4.830000,4.830000,2103300
2020-08-21,4.800000,4.840000,4.730000,4.750000,4.750000,2038200
2020-08-24,4.800000,4.840000,4.740000,4.790000,4.790000,2528200
2020-08-25,4.800000,4.880000,4.770000,4.780000,4.780000,2470300
2020-08-26,4.830000,5.210000,4.800000,5.080000,5.080000,7741000
2020-08-27,5.120000,5.170000,4.970000,5.030000,5.030000,3544300
2020-08-28,5.130000,5.300000,5.100000,5.230000,5.230000,3993900
2020-08-31,5.270000,5.320000,5.150000,5.220000,5.220000,4303000
2020-09-01,5.250000,5.590000,5.210000,5.580000,5.580000,6662900
2020-09-02,5.650000,5.660000,5.410000,5.520000,5.520000,5100100
2020-09-03,5.430000,5.440000,5.130000,5.180000,5.180000,5338800
2020-09-04,5.070000,5.200000,4.870000,5.110000,5.110000,5839600
2020-09-08,4.940000,5.100000,4.910000,4.930000,4.930000,3747400
2020-09-09,5.030000,5.060000,4.910000,4.920000,4.920000,3597600
2020-09-10,4.960000,4.980000,4.790000,4.800000,4.800000,3545900
2020-09-11,4.860000,4.870000,4.680000,4.750000,4.750000,3690600
2020-09-14,4.800000,4.910000,4.780000,4.820000,4.820000,3552400
2020-09-15,4.880000,4.890000,4.790000,4.810000,4.810000,2491000
2020-09-16,4.840000,4.860000,4.730000,4.730000,4.730000,3158600
2020-09-17,4.700000,4.730000,4.600000,4.730000,4.730000,3696400
2020-09-18,4.760000,4.890000,4.680000,4.860000,4.860000,4055400
2020-09-21,4.780000,4.810000,4.670000,4.760000,4.760000,3244900
2020-09-22,4.870000,4.950000,4.770000,4.940000,4.940000,3316700
2020-09-23,4.930000,4.970000,4.770000,4.800000,4.800000,4556100
2020-09-24,5.170000,5.340000,4.710000,4.750000,4.750000,17292800
2020-09-25,4.810000,4.880000,4.680000,4.770000,4.770000,5590800
2020-09-28,4.880000,4.880000,4.600000,4.610000,4.610000,7265700
2020-09-29,4.630000,4.690000,4.490000,4.630000,4.630000,5843900
2020-09-30,4.650000,4.760000,4.580000,4.590000,4.590000,3808500
2020-10-01,4.590000,4.640000,4.520000,4.580000,4.580000,4971200
2020-10-02,4.490000,4.500000,4.370000,4.440000,4.440000,6539300
2020-10-05,4.460000,4.510000,4.430000,4.500000,4.500000,3106300
2020-10-06,4.530000,4.680000,4.510000,4.550000,4.550000,3966000
2020-10-07,4.600000,4.640000,4.520000,4.570000,4.570000,2166900
2020-10-08,4.600000,4.640000,4.540000,4.600000,4.600000,2154100
2020-10-09,4.620000,4.740000,4.610000,4.730000,4.730000,2618200
2020-10-12,4.750000,4.830000,4.740000,4.750000,4.750000,2268300
2020-10-13,4.750000,5.230000,4.750000,5.140000,5.140000,10691100
2020-10-14,5.150000,5.250000,5.020000,5.080000,5.080000,5209400
2020-10-15,4.980000,5.170000,4.970000,5.160000,5.160000,4452600
2020-10-16,5.200000,5.210000,4.970000,4.980000,4.980000,5982500
2020-10-19,5.050000,5.210000,5.010000,5.190000,5.190000,4816400
2020-10-20,5.200000,5.210000,5.060000,5.080000,5.080000,4616000
2020-10-21,5.100000,5.140000,5.000000,5.100000,5.100000,3555800
2020-10-22,5.090000,5.140000,4.970000,5.130000,5.130000,2651600
2020-10-23,5.130000,5.130000,4.990000,5.120000,5.120000,2568000
2020-10-26,5.030000,5.070000,4.860000,4.880000,4.880000,3772800
2020-10-27,4.900000,4.940000,4.840000,4.850000,4.850000,2077900
2020-10-28,4.770000,4.790000,4.550000,4.570000,4.570000,4031200
2020-10-29,4.600000,4.640000,4.530000,4.610000,4.610000,2557000
2020-10-30,4.550000,4.610000,4.440000,4.490000,4.490000,3573900
2020-11-02,4.500000,4.550000,4.450000,4.480000,4.480000,2864500
2020-11-03,4.530000,4.690000,4.520000,4.670000,4.670000,2781700
2020-11-04,4.700000,4.760000,4.580000,4.680000,4.680000,3113900
2020-11-05,4.780000,4.920000,4.740000,4.860000,4.860000,2596900
2020-11-06,4.820000,4.890000,4.760000,4.830000,4.830000,2853800
2020-11-09,4.990000,5.060000,4.890000,4.930000,4.930000,3986500
2020-11-10,4.900000,5.030000,4.840000,5.020000,5.020000,4143600
2020-11-11,5.060000,5.230000,5.000000,5.190000,5.190000,5724600
2020-11-12,5.190000,5.210000,4.980000,4.990000,4.990000,2987500
2020-11-13,5.020000,5.150000,5.010000,5.110000,5.110000,5360500
2020-11-16,5.140000,5.230000,5.130000,5.190000,5.190000,3276300
2020-11-17,5.220000,5.300000,5.150000,5.290000,5.290000,3229300
2020-11-18,5.350000,5.610000,5.310000,5.440000,5.440000,6118700
2020-11-19,5.490000,5.490000,5.290000,5.360000,5.360000,4367200
2020-11-20,5.360000,5.770000,5.330000,5.760000,5.760000,6583400
2020-11-23,5.810000,5.840000,5.590000,5.660000,5.660000,4995700
2020-11-24,5.740000,5.770000,5.640000,5.700000,5.700000,5142800
2020-11-25,5.700000,5.940000,5.680000,5.910000,5.910000,4992200
2020-11-27,5.940000,6.200000,5.900000,6.150000,6.150000,3742500
2020-11-30,6.150000,6.160000,5.820000,5.870000,5.870000,6862900
2020-12-01,8.360000,9.690000,6.920000,7.000000,7.000000,330186600
2020-12-02,7.680000,8.410000,7.090000,7.450000,7.450000,150129800
2020-12-03,7.440000,7.610000,7.200000,7.460000,7.460000,40307200
2020-12-04,7.390000,8.550000,7.390000,8.520000,8.520000,69814500
2020-12-07,8.740000,9.000000,8.120000,8.250000,8.250000,44629100
2020-12-08,8.260000,8.720000,8.240000,8.520000,8.520000,26885100
2020-12-09,8.550000,8.650000,8.060000,8.310000,8.310000,19628000
2020-12-10,8.100000,8.400000,8.080000,8.370000,8.370000,10923200
2020-12-11,8.300000,8.330000,7.960000,8.160000,8.160000,11643200
2020-12-14,8.280000,8.570000,8.160000,8.250000,8.250000,14675500
2020-12-15,8.360000,8.390000,8.090000,8.300000,8.300000,9819700
2020-12-16,8.350000,8.350000,8.170000,8.240000,8.240000,8043200
2020-12-17,8.300000,8.340000,8.030000,8.260000,8.260000,17717900
2020-12-18,7.830000,7.830000,6.880000,6.950000,6.950000,49470100
2020-12-21,6.840000,7.200000,6.730000,7.110000,7.110000,17988300
2020-12-22,7.180000,7.440000,7.050000,7.190000,7.190000,16741500
2020-12-23,7.300000,7.330000,7.080000,7.090000,7.090000,9115500
2020-12-24,7.120000,7.240000,7.050000,7.060000,7.060000,6088300
2020-12-28,7.100000,7.130000,6.850000,6.880000,6.880000,9820100
2020-12-29,6.980000,7.000000,6.680000,6.770000,6.770000,11284200
2020-12-30,6.790000,6.810000,6.600000,6.670000,6.670000,9434900
2020-12-31,6.680000,6.800000,6.630000,6.630000,6.630000,7530600
2021-01-04,6.700000,6.820000,6.520000,6.580000,6.580000,11139200
2021-01-05,6.620000,6.800000,6.560000,6.770000,6.770000,9108900
2021-01-06,6.710000,6.910000,6.630000,6.710000,6.710000,11022300
2021-01-07,6.750000,7.120000,6.720000,7.060000,7.060000,13062800
2021-01-08,7.220000,7.640000,7.100000,7.560000,7.560000,23039300
2021-01-11,7.640000,7.790000,7.320000,7.650000,7.650000,15749600
2021-01-12,7.690000,7.710000,7.480000,7.630000,7.630000,9416000
2021-01-13,7.650000,7.660000,7.400000,7.440000,7.440000,8345500
2021-01-14,7.510000,9.330000,7.470000,9.110000,9.110000,65231300
2021-01-15,10.680000,11.560000,9.400000,9.840000,9.840000,153854700
2021-01-19,10.850000,12.390000,10.580000,12.350000,12.350000,112483200
2021-01-20,13.230000,13.640000,12.380000,12.790000,12.790000,130140700
2021-01-21,12.620000,12.950000,12.010000,12.850000,12.850000,63465000
2021-01-22,12.370000,14.280000,12.170000,14.040000,14.040000,120473600
2021-01-25,19.549999,20.830000,15.740000,18.030001,18.030001,363829100
2021-01-26,19.090000,19.510000,17.190001,18.920000,18.920000,242740800
2021-01-27,20.250000,28.770000,19.809999,25.100000,25.100000,372222600
2021-01-28,19.469999,22.500000,13.400000,14.650000,14.650000,194906600
2021-01-29,17.980000,18.120001,13.690000,14.100000,14.100000,93685700
2021-02-01,14.640000,15.540000,12.730000,14.630000,14.630000,78506000
2021-02-02,13.470000,13.750000,11.080000,11.550000,11.550000,80520900
2021-02-03,11.720000,12.470000,11.080000,12.000000,12.000000,50001300
2021-02-04,12.120000,12.430000,11.530000,12.150000,12.150000,33668000
2021-02-05,11.920000,13.670000,11.880000,13.230000,13.230000,44021600
2021-02-08,13.780000,14.350000,13.300000,13.760000,13.760000,37068900
2021-02-09,13.610000,13.650000,13.010000,13.430000,13.430000,23252500
2021-02-10,13.070000,13.490000,12.750000,13.100000,13.100000,27277900
2021-02-11,12.840000,13.090000,12.130000,12.460000,12.460000,22825600
2021-02-12,12.290000,13.290000,12.120000,13.040000,13.040000,18066700
2021-02-16,13.120000,13.170000,12.050000,12.210000,12.210000,25480200
2021-02-17,11.800000,11.820000,11.010000,11.320000,11.320000,26222900
2021-02-18,10.830000,11.280000,10.750000,10.940000,10.940000,19052600
2021-02-19,10.970000,11.190000,10.620000,10.900000,10.900000,20132700
2021-02-22,10.610000,11.560000,10.570000,10.680000,10.680000,21227500
2021-02-23,10.290000,10.460000,9.630000,10.400000,10.400000,27150600
2021-02-24,10.290000,11.720000,10.180000,11.320000,11.320000,40660700
2021-02-25,12.140000,12.150000,10.350000,10.580000,10.580000,46082800
2021-02-26,10.480000,10.820000,10.010000,10.050000,10.050000,22525500
2021-03-01,10.290000,11.250000,10.290000,10.910000,10.910000,24859100
